,,"AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3","AM  Kent Butaya, ford_mustang_gt3"
,,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1,Lap 1
,,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851,2:11.851
CG Accel Lateral [G],End,1.85,1.57,1.34,0.26,-0.47,0.53,1.10,-0.40,-1.72,-0.75,1.31,0.99,-1.43,0.31,1.02,-0.03,-1.19,-0.38,-1.35,-1.06,1.29,1.52,1.29,1.37,-1.39,-0.83,-1.35,0.09,-0.03
CG Accel Lateral [G],Std Dev,0.56,0.37,0.87,0.79,0.25,0.33,0.16,0.40,0.46,0.34,0.62,0.16,0.61,0.66,0.21,0.37,0.28,0.35,0.40,0.39,0.45,0.20,0.11,0.49,0.68,0.25,1.10,0.70,0.11
CG Accel Longitudinal [G],Min,-1.81,-0.57,-1.80,-0.19,0.10,-0.33,-1.35,-1.37,-1.97,-0.22,-0.15,0.15,-1.83,-0.16,0.46,-0.13,0.27,-1.77,-1.73,-0.22,-0.16,0.10,0.17,0.03,-1.89,-1.30,-1.63,-1.76,-0.14
CG Accel Longitudinal [G],Max,0.26,0.53,2.31,0.88,0.95,0.86,0.62,0.71,0.57,0.70,0.89,0.26,0.26,0.72,0.64,0.56,0.37,0.33,0.21,0.78,0.62,0.28,0.22,0.39,0.20,0.59,0.54,0.66,0.48
CG Accel Longitudinal [G],Range,2.07,1.10,4.10,1.07,0.85,1.19,1.97,2.08,2.55,0.92,1.04,0.11,2.09,0.88,0.18,0.69,0.10,2.10,1.94,1.00,0.78,0.18,0.05,0.36,2.09,1.89,2.17,2.43,0.62
CG Accel Longitudinal [G],Avg,-0.22,0.23,-0.28,0.22,0.79,0.56,0.11,0.20,-0.11,0.40,0.38,0.21,-0.73,0.36,0.57,0.38,0.32,-0.50,-0.93,0.33,0.33,0.20,0.20,0.19,-1.36,0.14,-0.30,0.10,0.28
CG Accel Longitudinal [G],Start,0.23,-0.57,0.33,0.17,0.59,0.86,0.59,-1.34,0.57,-0.22,0.62,0.18,0.24,-0.13,0.60,0.53,0.34,0.32,-1.63,0.08,0.56,0.21,0.19,0.20,0.20,-1.18,0.42,-0.11,0.41
CG Accel Longitudinal [G],End,-0.57,0.33,0.17,0.59,0.86,0.59,-1.34,0.57,-0.22,0.62,0.18,0.24,-0.13,0.60,0.53,0.34,0.32,-1.63,0.08,0.56,0.21,0.19,0.20,0.20,-1.18,0.42,-0.11,0.41,0.14
CG Accel Longitudinal [G],Std Dev,0.67,0.20,0.86,0.24,0.19,0.21,0.58,0.51,0.71,0.23,0.17,0.02,0.84,0.25,0.04,0.13,0.02,0.90,0.69,0.30,0.14,0.03,0.01,0.04,0.49,0.49,0.78,0.46,0.10
CG Accel Vertical [G],Min,-0.69,-0.52,-0.49,-0.91,-0.58,-0.16,-0.30,-0.29,-0.51,-0.25,-0.64,-0.50,-0.55,-0.37,-0.18,-0.32,-0.36,-0.28,-0.60,-0.23,-0.49,-0.48,-0.25,-0.85,-0.41,-0.22,-0.29,-0.74,-0.66
CG Accel Vertical [G],Max,0.66,0.44,0.65,0.99,0.70,0.17,0.24,0.22,0.57,0.27,0.54,0.39,0.59,0.28,0.21,0.30,0.43,0.18,0.25,0.42,0.53,0.40,0.10,0.55,0.43,0.26,0.27,0.93,0.52
CG Accel Vertical [G],Range,1.36,0.96,1.13,1.90,1.27,0.32,0.54,0.51,1.07,0.51,1.18,0.89,1.14,0.65,0.38,0.61,0.79,0.46,0.84,0.65,1.02,0.88,0.35,1.40,0.85,0.48,0.56,1.67,1.18
CG Accel Vertical [G],Avg,-0.02,-0.04,-0.00,-0.00,-0.01,-0.01,-0.02,-0.01,0.00,-0.00,0.00,-0.00,-0.02,-0.02,-0.00,-0.01,-0.02,-0.02,-0.04,0.01,0.00,-0.07,-0.03,-0.03,-0.03,-0.03,-0.02,-0.01,0.01
CG Accel Vertical [G],Start,0.19,0.04,0.08,-0.11,0.70,0.08,-0.03,0.13,0.11,0.13,0.05,0.26,-0.09,-0.13,-0.04,0.08,-0.29,0.05,-0.01,-0.13,-0.04,0.05,-0.06,-0.09,0.01,0.04,-0.10,-0.10,0.12
CG Accel Vertical [G],End,0.04,0.08,-0.11,0.70,0.08,-0.03,0.13,0.11,0.13,0.05,0.26,-0.09,-0.13,-0.04,0.08,-0.29,0.05,-0.01,-0.13,-0.04,0.05,-0.06,-0.09,0.01,0.04,-0.10,-0.10,0.12,0.22
CG Accel Vertical [G],Std Dev,0.25,0.18,0.18,0.23,0.20,0.08,0.13,0.11,0.16,0.11,0.16,0.22,0.18,0.12,0.09,0.11,0.19,0.12,0.12,0.14,0.19,0.23,0.09,0.26,0.19,0.09,0.11,0.16,0.24
